description,url
"Tecno Spark 6 Air (Ocean Blue, 3GB RAM, 32GB Storage)",https://www.amazon.in/Tecno-Spark-Ocean-Blue-Storage/dp/B08GCSL3VV/ref=sr_1_13?dchild=1&keywords=smartphone&qid=1603226386&sr=8-13
"Samsung Galaxy M01 Core (Blue, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MV96RW/ref=sr_1_14?dchild=1&keywords=smartphone&qid=1603226386&sr=8-14
"Redmi 8A Dual (Sea Blue, 3GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery",https://www.amazon.in/Redmi-8A-Dual-Blue-Storage/dp/B07WPVLKPW/ref=sr_1_15?dchild=1&keywords=smartphone&qid=1603226386&sr=8-15
"Samsung Galaxy M21 (Raven Black, 4GB RAM, 64GB Storage)",https://www.amazon.in/Test-Exclusive-667/dp/B07HGH8D2R/ref=sr_1_16?dchild=1&keywords=smartphone&qid=1603226386&sr=8-16
"Samsung Galaxy M01 (Blue, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KCDGTQ/ref=sr_1_17?dchild=1&keywords=smartphone&qid=1603226386&sr=8-17
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI",https://www.amazon.in/Test-Exclusive-549/dp/B077PWBC78/ref=sr_1_18?dchild=1&keywords=smartphone&qid=1603226386&sr=8-18
"Samsung Galaxy M01 Core (Blue, 1GB RAM, 16GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MS3GLM/ref=sr_1_19?dchild=1&keywords=smartphone&qid=1603226386&sr=8-19
"Vivo Y91i (Ocean Blue, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Vivo-Storage-Additional-Exchange-Offers/dp/B07KXCKPZZ/ref=sr_1_20?dchild=1&keywords=smartphone&qid=1603226386&sr=8-20
"TECNO Spark 6 Air (Comet Black, 3GB RAM, 64GB Storage)",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A01981683LD3UYUMOSG87&url=%2FTECNO-Spark-Comet-Black-Storage%2Fdp%2FB08HX4RKR1%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1603226386%26sr%3D8-21-spons%26psc%3D1&qualifier=1603226386&id=7608222091055185&widgetName=sp_btf
"OPPO A12 (Blue, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A07207474UZK521FDNFH&url=%2FOPPO-Storage-Additional-Exchange-Offers%2Fdp%2FB08444X3CN%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1603226386%26sr%3D8-22-spons%26psc%3D1&qualifier=1603226386&id=7608222091055185&widgetName=sp_btf
"Apple iPhone 11 (128GB) - White (Includes EarPods, Power Adapter)",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09426311PEC1EF9UNFRR&url=%2FApple-iPhone-11-128GB-White%2Fdp%2FB07XVLMXYH%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1603226388%26sr%3D8-1-spons%26psc%3D1&qualifier=1603226388&id=1737935458263613&widgetName=sp_atf
Apple iPhone 7 (32GB) - Black,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0715554A4L4V7YT3TXO&url=%2FApple-iPhone-Black-32GB-Storage%2Fdp%2FB01LZKSVRB%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1603226388%26sr%3D8-2-spons%26psc%3D1&qualifier=1603226388&id=1737935458263613&widgetName=sp_atf
"Redmi 8A Dual (Sea Blue, 2GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery",https://www.amazon.in/Redmi-8A-Dual-Blue-Storage/dp/B07X4R63DF/ref=sr_1_3?dchild=1&keywords=smartphone&qid=1603226388&sr=8-3
"Samsung Galaxy M01 (Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KCCMCP/ref=sr_1_4?dchild=1&keywords=smartphone&qid=1603226388&sr=8-4
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MQ622N/ref=sr_1_5?dchild=1&keywords=smartphone&qid=1603226388&sr=8-5
"Samsung Galaxy M21 (Midnight Blue, 4GB RAM, 64GB Storage)",https://www.amazon.in/Test-Exclusive-614/dp/B07HGJJ559/ref=sr_1_6?dchild=1&keywords=smartphone&qid=1603226388&sr=8-6
"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)",https://www.amazon.in/Samsung-Galaxy-Ocean-128GB-Storage/dp/B07HGGYWL6/ref=sr_1_7?dchild=1&keywords=smartphone&qid=1603226388&sr=8-7
"OPPO A5 2020 (Dazzling White, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Dazzling-Storage-Additional-Exchange-Offers/dp/B07SDPJ4XJ/ref=sr_1_8?dchild=1&keywords=smartphone&qid=1603226388&sr=8-8
"Redmi 8A Dual (Midnight Grey, 2GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery",https://www.amazon.in/Redmi-8A-Dual-Midnight-Storage/dp/B07X1KSLC3/ref=sr_1_9?dchild=1&keywords=smartphone&qid=1603226388&sr=8-9
"Samsung Galaxy M01 Core (Black, 1GB RAM, 16GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MTL51J/ref=sr_1_10?dchild=1&keywords=smartphone&qid=1603226388&sr=8-10
"Redmi Note 9 Pro (Glacier White, 4GB RAM, 64GB Storage) - Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A003361925JV96RUT3T49&url=%2FTest-Exclusive-551%2Fdp%2FB0784D862L%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1603226388%26sr%3D8-11-spons%26psc%3D1&qualifier=1603226388&id=1737935458263613&widgetName=sp_mtf
"Redmi Note 9 Pro Max (Interstellar Black, 6GB RAM, 64GB Storage) - 64MP Quad Camera & Latest 8nm Snapdragon 720G & Alexa Hands-Free | 12 Months No Cost EMI",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A1016084272VGDHF77CJ&url=%2FTest-Exclusive-557%2Fdp%2FB077PWJ8RS%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1603226388%26sr%3D8-12-spons%26psc%3D1&qualifier=1603226388&id=1737935458263613&widgetName=sp_mtf
"Tecno Spark 6 Air (Ocean Blue, 3GB RAM, 32GB Storage)",https://www.amazon.in/Tecno-Spark-Ocean-Blue-Storage/dp/B08GCSL3VV/ref=sr_1_13?dchild=1&keywords=smartphone&qid=1603226388&sr=8-13
"Samsung Galaxy M01 Core (Blue, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MV96RW/ref=sr_1_14?dchild=1&keywords=smartphone&qid=1603226388&sr=8-14
"Redmi 8A Dual (Sea Blue, 3GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery",https://www.amazon.in/Redmi-8A-Dual-Blue-Storage/dp/B07WPVLKPW/ref=sr_1_15?dchild=1&keywords=smartphone&qid=1603226388&sr=8-15
"Samsung Galaxy M21 (Raven Black, 4GB RAM, 64GB Storage)",https://www.amazon.in/Test-Exclusive-667/dp/B07HGH8D2R/ref=sr_1_16?dchild=1&keywords=smartphone&qid=1603226388&sr=8-16
"Samsung Galaxy M01 (Blue, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KCDGTQ/ref=sr_1_17?dchild=1&keywords=smartphone&qid=1603226388&sr=8-17
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI",https://www.amazon.in/Test-Exclusive-549/dp/B077PWBC78/ref=sr_1_18?dchild=1&keywords=smartphone&qid=1603226388&sr=8-18
"Samsung Galaxy M01 Core (Blue, 1GB RAM, 16GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MS3GLM/ref=sr_1_19?dchild=1&keywords=smartphone&qid=1603226388&sr=8-19
"Vivo Y91i (Ocean Blue, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Vivo-Storage-Additional-Exchange-Offers/dp/B07KXCKPZZ/ref=sr_1_20?dchild=1&keywords=smartphone&qid=1603226388&sr=8-20
"TECNO Spark 6 Air (Comet Black, 3GB RAM, 64GB Storage)",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A01981683LD3UYUMOSG87&url=%2FTECNO-Spark-Comet-Black-Storage%2Fdp%2FB08HX4RKR1%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1603226388%26sr%3D8-21-spons%26psc%3D1&qualifier=1603226388&id=1737935458263613&widgetName=sp_btf
"OPPO A12 (Blue, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A07207474UZK521FDNFH&url=%2FOPPO-Storage-Additional-Exchange-Offers%2Fdp%2FB08444X3CN%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1603226388%26sr%3D8-22-spons%26psc%3D1&qualifier=1603226388&id=1737935458263613&widgetName=sp_btf
"Apple iPhone 11 (128GB) - White (Includes EarPods, Power Adapter)",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09426311PEC1EF9UNFRR&url=%2FApple-iPhone-11-128GB-White%2Fdp%2FB07XVLMXYH%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1603226390%26sr%3D8-1-spons%26psc%3D1&qualifier=1603226390&id=6344352806876653&widgetName=sp_atf
Apple iPhone 7 (32GB) - Black,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0715554A4L4V7YT3TXO&url=%2FApple-iPhone-Black-32GB-Storage%2Fdp%2FB01LZKSVRB%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1603226390%26sr%3D8-2-spons%26psc%3D1&qualifier=1603226390&id=6344352806876653&widgetName=sp_atf
"Redmi 8A Dual (Sea Blue, 2GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery",https://www.amazon.in/Redmi-8A-Dual-Blue-Storage/dp/B07X4R63DF/ref=sr_1_3?dchild=1&keywords=smartphone&qid=1603226390&sr=8-3
"Samsung Galaxy M01 (Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KCCMCP/ref=sr_1_4?dchild=1&keywords=smartphone&qid=1603226390&sr=8-4
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MQ622N/ref=sr_1_5?dchild=1&keywords=smartphone&qid=1603226390&sr=8-5
"Samsung Galaxy M21 (Midnight Blue, 4GB RAM, 64GB Storage)",https://www.amazon.in/Test-Exclusive-614/dp/B07HGJJ559/ref=sr_1_6?dchild=1&keywords=smartphone&qid=1603226390&sr=8-6
"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)",https://www.amazon.in/Samsung-Galaxy-Ocean-128GB-Storage/dp/B07HGGYWL6/ref=sr_1_7?dchild=1&keywords=smartphone&qid=1603226390&sr=8-7
"OPPO A5 2020 (Dazzling White, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Dazzling-Storage-Additional-Exchange-Offers/dp/B07SDPJ4XJ/ref=sr_1_8?dchild=1&keywords=smartphone&qid=1603226390&sr=8-8
"Redmi 8A Dual (Midnight Grey, 2GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery",https://www.amazon.in/Redmi-8A-Dual-Midnight-Storage/dp/B07X1KSLC3/ref=sr_1_9?dchild=1&keywords=smartphone&qid=1603226390&sr=8-9
"Samsung Galaxy M01 Core (Black, 1GB RAM, 16GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MTL51J/ref=sr_1_10?dchild=1&keywords=smartphone&qid=1603226390&sr=8-10
"Redmi Note 9 Pro (Glacier White, 4GB RAM, 64GB Storage) - Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A003361925JV96RUT3T49&url=%2FTest-Exclusive-551%2Fdp%2FB0784D862L%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1603226390%26sr%3D8-11-spons%26psc%3D1&qualifier=1603226390&id=6344352806876653&widgetName=sp_mtf
"Redmi Note 9 Pro Max (Interstellar Black, 6GB RAM, 64GB Storage) - 64MP Quad Camera & Latest 8nm Snapdragon 720G & Alexa Hands-Free | 12 Months No Cost EMI",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A1016084272VGDHF77CJ&url=%2FTest-Exclusive-557%2Fdp%2FB077PWJ8RS%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1603226390%26sr%3D8-12-spons%26psc%3D1&qualifier=1603226390&id=6344352806876653&widgetName=sp_mtf
"Tecno Spark 6 Air (Ocean Blue, 3GB RAM, 32GB Storage)",https://www.amazon.in/Tecno-Spark-Ocean-Blue-Storage/dp/B08GCSL3VV/ref=sr_1_13?dchild=1&keywords=smartphone&qid=1603226390&sr=8-13
"Samsung Galaxy M01 Core (Blue, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MV96RW/ref=sr_1_14?dchild=1&keywords=smartphone&qid=1603226390&sr=8-14
"Redmi 8A Dual (Sea Blue, 3GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery",https://www.amazon.in/Redmi-8A-Dual-Blue-Storage/dp/B07WPVLKPW/ref=sr_1_15?dchild=1&keywords=smartphone&qid=1603226390&sr=8-15
"Samsung Galaxy M21 (Raven Black, 4GB RAM, 64GB Storage)",https://www.amazon.in/Test-Exclusive-667/dp/B07HGH8D2R/ref=sr_1_16?dchild=1&keywords=smartphone&qid=1603226390&sr=8-16
"Samsung Galaxy M01 (Blue, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KCDGTQ/ref=sr_1_17?dchild=1&keywords=smartphone&qid=1603226390&sr=8-17
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI",https://www.amazon.in/Test-Exclusive-549/dp/B077PWBC78/ref=sr_1_18?dchild=1&keywords=smartphone&qid=1603226390&sr=8-18
"Samsung Galaxy M01 Core (Blue, 1GB RAM, 16GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MS3GLM/ref=sr_1_19?dchild=1&keywords=smartphone&qid=1603226390&sr=8-19
"Vivo Y91i (Ocean Blue, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Vivo-Storage-Additional-Exchange-Offers/dp/B07KXCKPZZ/ref=sr_1_20?dchild=1&keywords=smartphone&qid=1603226390&sr=8-20
"TECNO Spark 6 Air (Comet Black, 3GB RAM, 64GB Storage)",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A01981683LD3UYUMOSG87&url=%2FTECNO-Spark-Comet-Black-Storage%2Fdp%2FB08HX4RKR1%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1603226390%26sr%3D8-21-spons%26psc%3D1&qualifier=1603226390&id=6344352806876653&widgetName=sp_btf
"OPPO A12 (Blue, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A07207474UZK521FDNFH&url=%2FOPPO-Storage-Additional-Exchange-Offers%2Fdp%2FB08444X3CN%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1603226390%26sr%3D8-22-spons%26psc%3D1&qualifier=1603226390&id=6344352806876653&widgetName=sp_btf
"Apple iPhone 11 (128GB) - White (Includes EarPods, Power Adapter)",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09426311PEC1EF9UNFRR&url=%2FApple-iPhone-11-128GB-White%2Fdp%2FB07XVLMXYH%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1603226393%26sr%3D8-1-spons%26psc%3D1&qualifier=1603226393&id=2629584338779702&widgetName=sp_atf
Apple iPhone 7 (32GB) - Black,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0715554A4L4V7YT3TXO&url=%2FApple-iPhone-Black-32GB-Storage%2Fdp%2FB01LZKSVRB%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1603226393%26sr%3D8-2-spons%26psc%3D1&qualifier=1603226393&id=2629584338779702&widgetName=sp_atf
"Redmi 8A Dual (Sea Blue, 2GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery",https://www.amazon.in/Redmi-8A-Dual-Blue-Storage/dp/B07X4R63DF/ref=sr_1_3?dchild=1&keywords=smartphone&qid=1603226393&sr=8-3
"Samsung Galaxy M01 (Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KCCMCP/ref=sr_1_4?dchild=1&keywords=smartphone&qid=1603226393&sr=8-4
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MQ622N/ref=sr_1_5?dchild=1&keywords=smartphone&qid=1603226393&sr=8-5
"Samsung Galaxy M21 (Midnight Blue, 4GB RAM, 64GB Storage)",https://www.amazon.in/Test-Exclusive-614/dp/B07HGJJ559/ref=sr_1_6?dchild=1&keywords=smartphone&qid=1603226393&sr=8-6
"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)",https://www.amazon.in/Samsung-Galaxy-Ocean-128GB-Storage/dp/B07HGGYWL6/ref=sr_1_7?dchild=1&keywords=smartphone&qid=1603226393&sr=8-7
"OPPO A5 2020 (Dazzling White, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Dazzling-Storage-Additional-Exchange-Offers/dp/B07SDPJ4XJ/ref=sr_1_8?dchild=1&keywords=smartphone&qid=1603226393&sr=8-8
"Redmi 8A Dual (Midnight Grey, 2GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery",https://www.amazon.in/Redmi-8A-Dual-Midnight-Storage/dp/B07X1KSLC3/ref=sr_1_9?dchild=1&keywords=smartphone&qid=1603226393&sr=8-9
"Samsung Galaxy M01 Core (Black, 1GB RAM, 16GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MTL51J/ref=sr_1_10?dchild=1&keywords=smartphone&qid=1603226393&sr=8-10
"Redmi Note 9 Pro (Glacier White, 4GB RAM, 64GB Storage) - Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A003361925JV96RUT3T49&url=%2FTest-Exclusive-551%2Fdp%2FB0784D862L%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1603226393%26sr%3D8-11-spons%26psc%3D1&qualifier=1603226393&id=2629584338779702&widgetName=sp_mtf
"Redmi Note 9 Pro Max (Interstellar Black, 6GB RAM, 64GB Storage) - 64MP Quad Camera & Latest 8nm Snapdragon 720G & Alexa Hands-Free | 12 Months No Cost EMI",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A1016084272VGDHF77CJ&url=%2FTest-Exclusive-557%2Fdp%2FB077PWJ8RS%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1603226393%26sr%3D8-12-spons%26psc%3D1&qualifier=1603226393&id=2629584338779702&widgetName=sp_mtf
"Tecno Spark 6 Air (Ocean Blue, 3GB RAM, 32GB Storage)",https://www.amazon.in/Tecno-Spark-Ocean-Blue-Storage/dp/B08GCSL3VV/ref=sr_1_13?dchild=1&keywords=smartphone&qid=1603226393&sr=8-13
"Samsung Galaxy M01 Core (Blue, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MV96RW/ref=sr_1_14?dchild=1&keywords=smartphone&qid=1603226393&sr=8-14
"Redmi 8A Dual (Sea Blue, 3GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery",https://www.amazon.in/Redmi-8A-Dual-Blue-Storage/dp/B07WPVLKPW/ref=sr_1_15?dchild=1&keywords=smartphone&qid=1603226393&sr=8-15
"Samsung Galaxy M21 (Raven Black, 4GB RAM, 64GB Storage)",https://www.amazon.in/Test-Exclusive-667/dp/B07HGH8D2R/ref=sr_1_16?dchild=1&keywords=smartphone&qid=1603226393&sr=8-16
"Samsung Galaxy M01 (Blue, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KCDGTQ/ref=sr_1_17?dchild=1&keywords=smartphone&qid=1603226393&sr=8-17
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI",https://www.amazon.in/Test-Exclusive-549/dp/B077PWBC78/ref=sr_1_18?dchild=1&keywords=smartphone&qid=1603226393&sr=8-18
"Samsung Galaxy M01 Core (Blue, 1GB RAM, 16GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MS3GLM/ref=sr_1_19?dchild=1&keywords=smartphone&qid=1603226393&sr=8-19
"Vivo Y91i (Ocean Blue, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Vivo-Storage-Additional-Exchange-Offers/dp/B07KXCKPZZ/ref=sr_1_20?dchild=1&keywords=smartphone&qid=1603226393&sr=8-20
"TECNO Spark 6 Air (Comet Black, 3GB RAM, 64GB Storage)",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A01981683LD3UYUMOSG87&url=%2FTECNO-Spark-Comet-Black-Storage%2Fdp%2FB08HX4RKR1%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1603226393%26sr%3D8-21-spons%26psc%3D1&qualifier=1603226393&id=2629584338779702&widgetName=sp_btf
"OPPO A12 (Blue, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A07207474UZK521FDNFH&url=%2FOPPO-Storage-Additional-Exchange-Offers%2Fdp%2FB08444X3CN%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1603226393%26sr%3D8-22-spons%26psc%3D1&qualifier=1603226393&id=2629584338779702&widgetName=sp_btf
"Apple iPhone 11 (128GB) - White (Includes EarPods, Power Adapter)",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09426311PEC1EF9UNFRR&url=%2FApple-iPhone-11-128GB-White%2Fdp%2FB07XVLMXYH%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1603226395%26sr%3D8-1-spons%26psc%3D1&qualifier=1603226395&id=8899218404206210&widgetName=sp_atf
Apple iPhone 7 (32GB) - Black,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0715554A4L4V7YT3TXO&url=%2FApple-iPhone-Black-32GB-Storage%2Fdp%2FB01LZKSVRB%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1603226395%26sr%3D8-2-spons%26psc%3D1&qualifier=1603226395&id=8899218404206210&widgetName=sp_atf
"Redmi 8A Dual (Sea Blue, 2GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery",https://www.amazon.in/Redmi-8A-Dual-Blue-Storage/dp/B07X4R63DF/ref=sr_1_3?dchild=1&keywords=smartphone&qid=1603226395&sr=8-3
"Samsung Galaxy M01 (Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KCCMCP/ref=sr_1_4?dchild=1&keywords=smartphone&qid=1603226395&sr=8-4
